,Players,club,league,age,nationality,Position,overall,potential,eur_value,injury_prone_trait,Previous Average Form,Current Average Form,Apps This Season,Plays in Top 5 Leagues,Homegrown
0,Lionel Messi,FC Barcelona,Spanish Primera Division,30,Argentina,Forward,93,93,105000000.0,False,8.255952380952381,7.375,32.0,True,False
1,Cristiano Ronaldo,Real Madrid CF,Spanish Primera Division,32,Portugal,Forward,94,94,95500000.0,False,7.926829268292683,7.28,25.0,True,False
2,Luis Suarez,FC Barcelona,Spanish Primera Division,30,Uruguay,Forward,92,92,97000000.0,False,7.0181818181818185,6.535714285714287,28.0,True,False
3,Zlatan Ibrahimovic,Manchester United,English Premier League,35,Sweden,Forward,88,88,27000000.0,False,6.9,1.2,5.0,True,False
4,Robert Lewandowski,FC Bayern Munich,German Bundesliga,28,Poland,Forward,91,91,92000000.0,False,6.05,6.814814814814817,27.0,True,False
5,Edinson Cavani,Paris Saint-Germain,French Ligue 1,30,Uruguay,Forward,87,87,48500000.0,False,5.544910179640719,0.0,0.0,True,False
6,Sergio Aguero,Manchester City,English Premier League,29,Argentina,Forward,89,89,66500000.0,False,5.496598639455782,6.72,25.0,True,False
7,Gareth Bale,Real Madrid CF,Spanish Primera Division,27,Wales,Midfielder,89,89,69500000.0,True,5.451127819548872,4.318181818181818,22.0,True,False
8,Pierre Emerick Aubameyang,Borussia Dortmund,German Bundesliga,28,Gabon,Forward,88,88,61000000.0,False,5.393939393939394,0.0,0.0,True,False
9,Gonzalo Higuain,Juventus,Italian Serie A,29,Argentina,Forward,90,90,77000000.0,False,5.3882352941176475,4.833333333333333,30.0,True,False
10,Harry Kane,Tottenham Hotspur,English Premier League,23,England,Forward,86,90,59000000.0,False,5.362068965517241,5.848484848484849,33.0,True,True
11,Neymar,Paris Saint-Germain,French Ligue 1,25,Brazil,Forward,92,94,123000000.0,False,5.306451612903226,0.0,0.0,True,False
12,Karim Benzema,Real Madrid CF,Spanish Primera Division,29,France,Forward,86,86,44500000.0,False,5.273333333333333,3.5925925925925934,27.0,True,True
13,Alexandre Lacazette,Arsenal,English Premier League,26,France,Forward,85,88,48500000.0,False,5.054878048780488,3.965517241379312,29.0,True,True
14,Robin van Persie,Fenerbahce SK,Turkish Super Lig,33,Netherlands,Forward,77,77,5500000.0,True,5.023255813953488,0.0,0.0,False,False
15,Max Kruse,SV Werder Bremen,German Bundesliga,29,Germany,Midfielder,82,82,22000000.0,False,5.017543859649122,3.8,25.0,True,True
16,Diego Costa,Chelsea,English Premier League,28,Spain,Forward,86,86,46000000.0,False,4.961290322580645,3.25,12.0,True,True
17,Arjen Robben,FC Bayern Munich,German Bundesliga,33,Netherlands,Midfielder,88,88,36000000.0,True,4.925233644859813,3.8,20.0,True,False
18,Thomas Muller,FC Bayern Munich,German Bundesliga,27,Germany,Forward,86,86,47500000.0,False,4.913333333333333,4.230769230769232,26.0,True,True
19,Alexis Sanchez,Arsenal,English Premier League,28,Chile,Forward,89,89,67500000.0,False,4.879518072289157,3.928571428571429,28.0,True,False
20,Antoine Griezmann,Atletico Madrid,Spanish Primera Division,26,France,Forward,88,91,75000000.0,False,4.8108108108108105,5.758620689655173,29.0,True,True
21,Marco Reus,Borussia Dortmund,German Bundesliga,28,Germany,Midfielder,86,86,45000000.0,True,4.806451612903226,4.142857142857143,7.0,True,True
22,Mauro Icardi,Inter,Italian Serie A,24,Argentina,Forward,84,89,42000000.0,False,4.7935483870967746,6.448275862068965,29.0,True,False
23,Franck Ribery,FC Bayern Munich,German Bundesliga,34,France,Midfielder,86,86,22500000.0,True,4.636363636363637,3.0526315789473686,19.0,True,True
24,David Alaba,FC Bayern Munich,German Bundesliga,25,Austria,Defender,86,88,44500000.0,False,4.621212121212121,4.086956521739131,23.0,True,False
25,Romelu Lukaku,Manchester United,English Premier League,24,Belgium,Forward,86,90,59000000.0,False,4.612359550561798,4.848484848484849,33.0,True,False
26,Aritz Aduriz,Athletic Club de Bilbao,Spanish Primera Division,36,Spain,Forward,84,84,11000000.0,False,4.591463414634147,2.7333333333333334,30.0,True,True
27,Alexander Meier,Eintracht Frankfurt,German Bundesliga,34,Germany,Midfielder,77,77,4700000.0,True,4.563025210084033,0.0,0.0,True,True
28,Dele Alli,Tottenham Hotspur,English Premier League,21,England,Midfielder,84,90,43000000.0,False,4.428571428571429,4.064516129032258,31.0,True,True
29,Daniel Sturridge,Liverpool,English Premier League,27,England,Forward,82,82,23500000.0,True,4.40625,2.5384615384615383,13.0,True,True
30,Mohamed Salah,Liverpool,English Premier League,25,Egypt,Forward,83,86,32500000.0,False,4.404255319148936,7.40625,32.0,True,False
31,James Rodriguez,FC Bayern Munich,German Bundesliga,25,Colombia,Midfielder,86,89,56000000.0,False,4.357142857142857,4.55,20.0,True,False
32,Kevin De Bruyne,Manchester City,English Premier League,26,Belgium,Midfielder,89,92,83000000.0,False,4.3355704697986575,4.363636363636363,33.0,True,False
33,Lucas,Paris Saint-Germain,French Ligue 1,24,Brazil,Forward,82,85,28000000.0,False,4.333333333333333,3.0645161290322585,31.0,True,False
34,Raffael,Borussia Monchengladbach,German Bundesliga,32,Brazil,Forward,82,82,17500000.0,False,4.303030303030303,3.75,24.0,True,False
35,Andre Pierre Gignac,Tigres U.A.N.L.,Mexican Liga MX,31,France,Forward,81,81,16000000.0,False,4.298076923076923,0.0,0.0,False,True
36,Carlos Bacca,Villarreal CF,Spanish Primera Division,30,Colombia,Forward,82,82,21500000.0,False,4.290780141843972,4.0,31.0,True,False
37,Jamie Vardy,Leicester City,English Premier League,30,England,Forward,81,81,17000000.0,False,4.276190476190476,4.5151515151515165,33.0,True,True
38,Wissam Ben Yedder,Sevilla FC,Spanish Primera Division,26,France,Forward,81,82,21000000.0,False,4.275862068965517,3.272727272727273,22.0,True,True
39,Alex Sandro,Juventus,Italian Serie A,26,Brazil,Defender,86,88,44000000.0,False,4.26530612244898,5.090909090909091,22.0,True,False
40,Edin Dzeko,Roma,Italian Serie A,31,Bosnia Herzegovina,Forward,84,84,28000000.0,False,4.254901960784314,4.15625,32.0,True,False
41,Jan Oblak,Atletico Madrid,Spanish Primera Division,24,Slovenia,Goalkeeper,88,93,57000000.0,False,4.215189873417722,4.545454545454546,33.0,True,False
42,Wayne Rooney,Everton,English Premier League,31,England,Forward,81,81,15500000.0,False,4.197183098591549,3.4137931034482767,29.0,True,True
43,Mario Mandzukic,Juventus,Italian Serie A,31,Croatia,Forward,83,83,23500000.0,False,4.194444444444445,2.9642857142857144,28.0,True,False
44,Lukas Podolski,Vissel Kobe,Japanese J1 League,32,Germany,Forward,80,80,12000000.0,False,4.188679245283019,0.0,0.0,False,True
45,Charlie Austin,Southampton,English Premier League,27,England,Forward,78,78,11000000.0,True,4.175438596491228,3.0,20.0,True,True
46,Manuel Neuer,FC Bayern Munich,German Bundesliga,31,Germany,Goalkeeper,92,92,61000000.0,False,4.175324675324675,4.333333333333333,3.0,True,True
47,Paulo Dybala,Juventus,Italian Serie A,23,Argentina,Forward,88,93,79000000.0,False,4.166666666666667,5.821428571428571,28.0,True,False
48,Diego Godin,Atletico Madrid,Spanish Primera Division,31,Uruguay,Defender,88,88,40000000.0,False,4.13939393939394,3.928571428571429,28.0,True,False
49,Giorgio Chiellini,Juventus,Italian Serie A,32,Italy,Defender,89,89,38000000.0,True,4.125,4.28,25.0,True,True
50,Eden Hazard,Chelsea,English Premier League,26,Belgium,Midfielder,90,91,90500000.0,False,4.120689655172414,4.066666666666666,30.0,True,False
51,Olivier Giroud,Arsenal,English Premier League,30,France,Forward,82,82,21500000.0,False,4.073170731707317,2.48,25.0,True,True
52,Gianluigi Buffon,Juventus,Italian Serie A,39,Italy,Goalkeeper,89,89,4500000.0,False,4.0552147239263805,4.294117647058823,17.0,True,True
53,Almamy Toure,AS Monaco,French Ligue 1,21,Mali,Defender,73,81,5000000.0,True,4.033333333333333,0.0,0.0,True,False
54,Max Kruse,SV Werder Bremen,German Bundesliga,29,Germany,Forward,82,82,22000000.0,False,4.030612244897959,0.0,0.0,True,True
55,Bas Dost,Sporting CP,Portuguese Primeira Liga,28,Netherlands,Forward,83,83,27000000.0,False,4.023529411764706,0.0,0.0,False,False
56,Javi Martinez,FC Bayern Munich,German Bundesliga,28,Spain,Defender,86,86,36000000.0,True,4.022988505747127,3.8947368421052633,19.0,True,True
57,Mesut Ozil,Arsenal,English Premier League,28,Germany,Midfielder,88,88,60000000.0,False,4.0198675496688745,3.4615384615384617,26.0,True,True
58,Dimitri Payet,Olympique de Marseille,French Ligue 1,30,France,Midfielder,83,83,24500000.0,False,4.005780346820809,0.0,0.0,True,True
59,Christian Benteke,Crystal Palace,English Premier League,26,Belgium,Forward,80,82,18000000.0,False,4.0,2.5555555555555562,27.0,True,False
60,Ashley Cole,LA Galaxy,USA Major League Soccer,36,England,Defender,71,71,270000.0,False,4.0,0.0,0.0,False,True
61,Salomon Kalou,Hertha BSC Berlin,German Bundesliga,31,Ivory Coast,Forward,80,80,13000000.0,False,3.9934210526315788,3.962962962962963,27.0,True,False
62,Ousmane Dembele,FC Barcelona,Spanish Primera Division,20,France,Midfielder,83,92,40000000.0,False,3.9655172413793105,3.0,13.0,True,True
