,Players,Position,Clubs,league,age,nationality,overall,Continent,Homegrown,Starts/Apps,Subbed Off/Apps,Overall Apps,Average Form,Goals/Apps,Assists/Apps,Clean Sheets/Apps
,,,,,,,,,,,,,,,,
0,Lionel Messi,Forward,BARC,Spanish Primera Division,30,Argentina,93,South America,False,0.9345238095238095,0.05952380952380952,168.0,8.255952380952381,1.0654761904761905,0.3869047619047619,0.0
1,Cristiano Ronaldo,Forward,MADR,Spanish Primera Division,32,Portugal,94,Europe,False,0.975609756097561,0.10975609756097561,164.0,7.926829268292683,1.0548780487804879,0.3170731707317073,0.0
2,Zlatan Ibrahimovic,Forward,PSG,English Premier League,35,Sweden,88,Europe,False,0.9590163934426229,0.11475409836065574,122.0,7.286885245901639,0.9262295081967213,0.3114754098360656,0.0
3,Luis Suarez,Forward,BARC,Spanish Primera Division,30,Uruguay,92,South America,False,0.9595959595959596,0.20202020202020202,99.0,7.252525252525253,0.8484848484848485,0.42424242424242425,0.0
4,Denis Bouanga,Midfielder,LORI,French Ligue 2,22,Gabon,71,Africa,False,1.0,1.0,1.0,7.0,1.0,0.0,0.0
5,Luca Crosta,Goalkeeper,,Italian Serie A,19,Italy,64,Europe,True,1.0,0.0,1.0,7.0,0.0,0.0,0.0
6,Dylan Saint-Louis,Midfielder,ASSE,French Ligue 2,22,France,68,Europe,False,1.0,1.0,1.0,7.0,1.0,0.0,0.0
7,Josh Harrop,Midfielder,MUFC,English Championship,21,England,65,Europe,False,1.0,0.0,1.0,7.0,1.0,0.0,0.0
8,Luis Suarez,Forward,LPOOL,Spanish Primera Division,30,Uruguay,92,South America,False,1.0,0.07575757575757576,66.0,6.666666666666667,0.8181818181818182,0.2727272727272727,0.0
9,Edinson Cavani,Forward,NAPO,French Ligue 1,30,Uruguay,87,South America,False,0.9705882352941176,0.029411764705882353,34.0,6.352941176470588,0.8529411764705882,0.11764705882352941,0.0
10,Gabriel Jesus,Forward,MCFC,English Premier League,20,Brazil,81,South America,False,0.8,0.3,10.0,6.3,0.7,0.4,0.0
11,Robert Lewandowski,Forward,BM1,German Bundesliga,28,Poland,91,Europe,False,0.9166666666666666,0.17708333333333334,96.0,6.229166666666667,0.8020833333333334,0.125,0.0
12,Max Kruse,Midfielder,WB1,German Bundesliga,29,Germany,82,Europe,True,1.0,0.17391304347826086,23.0,6.130434782608695,0.6521739130434783,0.30434782608695654,0.0
13,Fabio Coltorti,Goalkeeper,,German Bundesliga,36,Switzerland,71,Europe,False,1.0,0.0,1.0,6.0,0.0,0.0,1.0
14,Lukas Klostermann,Defender,,German Bundesliga,21,Germany,73,Europe,True,1.0,0.0,1.0,6.0,0.0,0.0,1.0
15,Romain Salin,Goalkeeper,GUIN,Portuguese Primeira Liga,32,France,74,Europe,False,1.0,0.0,1.0,6.0,0.0,0.0,1.0
16,Joel Pereira,Goalkeeper,MUFC,English Premier League,21,Portugal,71,Europe,False,1.0,0.0,1.0,6.0,0.0,0.0,1.0
17,Sergio Romero,Goalkeeper,MUFC,English Premier League,30,Argentina,80,South America,False,1.0,0.0,6.0,6.0,0.0,0.0,0.8333333333333334
18,Valentin Rosier,Defender,,French Ligue 1,20,France,66,Europe,True,1.0,0.0,3.0,6.0,0.0,0.0,1.0
19,Antonio Donnarumma,Goalkeeper,,Italian Serie A,26,Italy,66,Europe,True,1.0,0.0,1.0,6.0,0.0,0.0,1.0
20,Hicham Khaloua,Forward,,Spanish Segunda Division,22,Morocco,64,Africa,False,0.0,0.0,1.0,6.0,1.0,0.0,0.0
21,Demetri Mitchell,Defender,MUFC,English Premier League,20,England,64,Europe,True,1.0,0.0,1.0,6.0,0.0,0.0,1.0
22,David Soria,Goalkeeper,SEVI,Spanish Primera Division,24,Spain,73,Europe,True,1.0,0.0,1.0,6.0,0.0,0.0,1.0
23,Davy Roef,Goalkeeper,RCDC,Belgian First Division A,23,Belgium,70,Europe,False,1.0,0.0,1.0,6.0,0.0,0.0,1.0
24,Sven Muller,Goalkeeper,FCK1,German Bundesliga,21,Germany,63,Europe,True,1.0,0.0,1.0,6.0,0.0,0.0,1.0
25,Robert Lewandowski,Forward,BD1,German Bundesliga,28,Poland,91,Europe,False,0.9375,0.109375,64.0,5.78125,0.6875,0.1875,0.0
26,Timo Werner,Forward,,German Bundesliga,21,Germany,82,Europe,True,0.9032258064516129,0.6129032258064516,31.0,5.645161290322581,0.6774193548387096,0.16129032258064516,0.0
27,Gonzalo Higuain,Forward,NAPO,Italian Serie A,29,Argentina,90,South America,False,0.9038461538461539,0.375,104.0,5.576923076923077,0.6826923076923077,0.15384615384615385,0.0
28,Tobias Sippel,Goalkeeper,MON1,German Bundesliga,29,Germany,74,Europe,True,1.0,0.0,2.0,5.5,0.0,0.0,1.0
29,Sergio Aguero,Forward,MCFC,English Premier League,29,Argentina,89,South America,False,0.8571428571428571,0.43537414965986393,147.0,5.496598639455782,0.673469387755102,0.14965986394557823,0.0
30,Gareth Bale,Midfielder,SPURS,Spanish Primera Division,27,Wales,89,Europe,False,1.0,0.12121212121212122,33.0,5.454545454545454,0.6363636363636364,0.18181818181818182,0.0
31,Gareth Bale,Midfielder,MADR,Spanish Primera Division,27,Wales,89,Europe,False,0.92,0.3,100.0,5.45,0.54,0.33,0.0
