,Players,club,league,age,nationality,Position,overall,potential,aggression,standing_tackle,sliding_tackle,marking,diver_trait,work_rate_def,tackling_speciality,argues_with_officials_trait,Total Apps,Total Yellows,Average Yellows/Game,Total Reds,Average Reds/Game,Total Conceded 1+,Average Conceded 1+
0,Aaron Cresswell,West Ham United,English Premier League,27,England,Defender,76,77,68,75,77,76,False,Medium,False,False,101.0,9.0,0.0891089108910891,0.0,0.0,60.0,0.594059405940594
1,Aaron Hughes,Heart of Midlothian,Scottish Premiership,37,Northern Ireland,Defender,71,71,66,73,71,75,False,Medium,False,False,37.0,3.0,0.08108108108108109,0.0,0.0,44.0,1.1891891891891893
2,Aaron Hunt,Hamburger SV,German Bundesliga,30,Germany,Midfielder,76,76,59,34,35,28,False,Medium,False,False,118.0,11.0,0.09322033898305085,0.0,0.0,0.0,0.0
3,Aaron Lennon,Everton,English Premier League,30,England,Midfielder,77,77,57,37,37,40,False,Medium,False,False,120.0,6.0,0.05,0.0,0.0,0.0,0.0
5,Aaron Niguez,Real Oviedo,Spanish Segunda Division,28,Spain,Midfielder,73,73,55,43,46,38,False,Low,False,False,43.0,10.0,0.23255813953488372,0.0,0.0,0.0,0.0
7,Aaron Ramsey,Arsenal,English Premier League,26,Wales,Midfielder,82,83,73,70,67,60,False,High,False,False,142.0,21.0,0.14788732394366197,0.0,0.0,0.0,0.0
12,Abdoul Camara,En Avant de Guingamp,French Ligue 1,27,Guinea,Midfielder,71,71,64,29,27,20,False,Medium,False,False,42.0,4.0,0.09523809523809523,0.0,0.0,0.0,0.0
13,Abdoul Sissoko,Akhisar Belediyespor,Turkish Super Lig,27,Mali,Midfielder,70,70,74,69,65,58,False,Medium,False,False,48.0,4.0,0.08333333333333333,1.0,0.020833333333333332,0.0,0.0
17,Abdoulaye Doucoure,Watford,English Premier League,24,France,Midfielder,78,84,77,79,73,70,False,Medium,False,False,110.0,17.0,0.15454545454545454,0.0,0.0,0.0,0.0
18,Abdoulaye Keita,Le Havre AC,French Ligue 2,23,Mali,Midfielder,62,70,60,65,62,51,False,Medium,False,False,35.0,2.0,0.05714285714285714,0.0,0.0,0.0,0.0
19,Abdoulaye Toure,FC Nantes,French Ligue 1,23,France,Midfielder,66,71,64,74,65,67,False,High,False,False,17.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0
22,Abel Aguilar,Asociacion Deportivo Cali,Colombian Primera A,32,Colombia,Midfielder,75,75,86,81,61,67,False,High,False,False,77.0,24.0,0.3116883116883117,0.0,0.0,0.0,0.0
23,Abel Hernandez,Hull City,English Championship,26,Uruguay,Forward,75,75,59,29,22,19,False,Low,False,False,63.0,3.0,0.047619047619047616,0.0,0.0,0.0,0.0
26,Achraf Lazaar,Benevento Calcio,Italian Serie A,25,Morocco,Midfielder,73,78,71,72,72,69,False,High,False,False,59.0,6.0,0.1016949152542373,0.0,0.0,0.0,0.0
27,Adalberto Penaranda,Malaga CF,Spanish Primera Division,20,Venezuela,Midfielder,75,85,62,37,31,20,False,Medium,False,False,31.0,9.0,0.2903225806451613,0.0,0.0,0.0,0.0
28,Adam Armstrong,Bolton Wanderers,English Championship,20,England,Forward,67,80,78,17,21,20,False,Medium,False,False,15.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0
29,Adam Bodzek,Fortuna Dusseldorf,German 2. Bundesliga,31,Poland,Defender,69,69,71,74,70,64,False,High,False,False,29.0,9.0,0.3103448275862069,0.0,0.0,24.0,0.8275862068965517
32,Adam Clayton,Middlesbrough,English Championship,28,England,Midfielder,74,75,82,75,72,63,False,High,False,False,34.0,10.0,0.29411764705882354,0.0,0.0,0.0,0.0
33,Adam Federici,Bournemouth,English Premier League,32,Australia,Goalkeeper,73,73,44,11,18,20,False,Medium,False,False,29.0,1.0,0.034482758620689655,0.0,0.0,34.0,1.1724137931034482
34,Adam Forshaw,Middlesbrough,English Championship,25,England,Midfielder,72,74,59,55,54,52,False,Medium,False,False,34.0,4.0,0.11764705882352941,0.0,0.0,0.0,0.0
35,Adam Hlousek,Legia Warszawa,Polish Ekstraklasa,28,Czech Republic,Forward,71,71,78,70,69,67,False,Medium,False,False,57.0,11.0,0.19298245614035087,0.0,0.0,0.0,0.0
37,Adam Lallana,Liverpool,English Premier League,29,England,Midfielder,83,83,74,67,62,60,False,High,False,False,156.0,14.0,0.08974358974358974,0.0,0.0,0.0,0.0
38,Adam Lang,Dijon FCO,French Ligue 1,24,Hungary,Defender,69,74,65,71,67,72,False,Medium,False,False,19.0,4.0,0.21052631578947367,0.0,0.0,14.0,0.7368421052631579
39,Adam Le Fondre,Bolton Wanderers,English Championship,30,England,Forward,68,68,47,21,14,19,False,Low,False,False,34.0,3.0,0.08823529411764706,0.0,0.0,0.0,0.0
40,Adam Masina,Bologna,Italian Serie A,23,Italy,Defender,74,79,66,74,74,66,False,Medium,False,False,65.0,14.0,0.2153846153846154,2.0,0.03076923076923077,42.0,0.6461538461538462
42,Adam Matuschyk,Zagebie Lubin,Polish Ekstraklasa,28,Poland,Midfielder,67,67,59,66,66,62,False,Medium,False,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Adam Nagy,Bologna,Italian Serie A,22,Hungary,Defender,74,85,64,72,64,68,False,High,False,False,25.0,4.0,0.16,0.0,0.0,18.0,0.72
44,Adam Ounas,Napoli,Italian Serie A,20,Algeria,Midfielder,72,82,64,54,47,44,False,Medium,False,False,49.0,9.0,0.1836734693877551,1.0,0.02040816326530612,0.0,0.0
45,Adam Pinter,SpVgg Greuther Furth,German 2. Bundesliga,29,Hungary,Defender,69,69,75,70,61,64,False,Medium,False,False,18.0,5.0,0.2777777777777778,0.0,0.0,12.0,0.6666666666666666
47,Adam Smith,Bournemouth,English Premier League,26,England,Defender,73,76,67,75,72,72,False,Medium,False,False,67.0,11.0,0.16417910447761194,0.0,0.0,63.0,0.9402985074626866
49,Adam Szalai,TSG 1899 Hoffenheim,German Bundesliga,29,Hungary,Forward,75,75,74,41,13,27,True,Medium,False,False,121.0,13.0,0.10743801652892562,1.0,0.008264462809917356,0.0,0.0
50,Adama Diakhaby,AS Monaco,French Ligue 1,20,France,Forward,72,82,32,17,16,15,False,Medium,False,False,25.0,2.0,0.08,0.0,0.0,0.0,0.0
51,Adama Diomande,Hull City,English Championship,27,Norway,Forward,69,70,69,20,14,23,False,Medium,False,False,22.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0
53,Adama Traore,AS Monaco,French Ligue 1,22,Mali,Forward,71,79,68,62,59,63,False,Medium,False,False,17.0,2.0,0.11764705882352941,0.0,0.0,0.0,0.0
54,Adama Traore,AS Monaco,French Ligue 1,22,Mali,Midfielder,71,79,68,62,59,63,False,Medium,False,False,52.0,5.0,0.09615384615384616,0.0,0.0,0.0,0.0
55,Adel Taarabt,Genoa,Italian Serie A,28,Morocco,Midfielder,70,70,59,32,25,29,False,Low,False,False,70.0,8.0,0.11428571428571428,0.0,0.0,0.0,0.0
56,Adem Ljajic,Torino,Italian Serie A,25,Serbia,Midfielder,79,80,44,35,35,23,False,Medium,False,False,146.0,16.0,0.1095890410958904,0.0,0.0,0.0,0.0
59,Adil Rami,Olympique de Marseille,French Ligue 1,31,France,Defender,81,81,83,81,78,80,False,High,False,False,116.0,26.0,0.22413793103448276,0.0,0.0,61.0,0.5258620689655172
60,Adlene Guedioura,Middlesbrough,English Championship,31,Algeria,Midfielder,70,70,81,66,65,60,False,High,False,False,50.0,5.0,0.1,0.0,0.0,0.0,0.0
61,Admir Mehmedi,Bayer 04 Leverkusen,German Bundesliga,26,Switzerland,Forward,76,77,68,40,36,29,False,Medium,False,False,109.0,8.0,0.07339449541284404,1.0,0.009174311926605505,0.0,0.0
62,Adnan Januzaj,Real Sociedad,Spanish Primera Division,22,Belgium,Midfielder,77,84,31,22,22,20,True,Low,False,False,81.0,12.0,0.14814814814814814,0.0,0.0,0.0,0.0
63,Adnane Tighadouini,FC Twente,Holland Eredivisie,24,Morocco,Midfielder,71,76,54,37,24,30,False,Medium,False,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Adrian Daniel Calello,Club Atletico Huracan,Argentinian Superliga,30,Argentina,Midfielder,64,64,60,77,66,65,False,High,False,False,10.0,2.0,0.2,0.0,0.0,0.0,0.0
65,Adrian Gonzalez,Malaga CF,Spanish Primera Division,29,Spain,Midfielder,76,76,70,66,64,59,False,Low,False,False,127.0,26.0,0.2047244094488189,0.0,0.0,0.0,0.0
66,Adrian Lopez,RCD Espanyol,Spanish Primera Division,18,Spain,Forward,64,76,23,14,14,9,False,Medium,False,False,82.0,1.0,0.012195121951219513,0.0,0.0,0.0,0.0
67,Adrian Mariappa,Watford,English Premier League,30,Jamaica,Defender,72,72,58,77,79,76,False,Medium,False,False,75.0,14.0,0.18666666666666668,0.0,0.0,67.0,0.8933333333333333
69,Adrian Ramos,Granada CF,Spanish Segunda Division,31,Colombia,Forward,78,78,58,33,28,23,False,Medium,False,False,77.0,3.0,0.03896103896103896,0.0,0.0,0.0,0.0
70,Adrian Stoian,Crotone,Italian Serie A,26,Romania,Midfielder,70,70,60,30,32,28,False,High,False,False,62.0,6.0,0.0967741935483871,0.0,0.0,0.0,0.0
71,Adriano,Besiktas JK,Turkish Super Lig,32,Brazil,Defender,78,78,75,77,80,74,False,High,False,False,73.0,12.0,0.1643835616438356,0.0,0.0,16.0,0.2191780821917808
72,Adriano Russo,Frosinone,Italian Serie B,30,Italy,Defender,66,66,65,66,64,66,False,High,False,False,10.0,2.0,0.2,0.0,0.0,12.0,1.2
73,Adrien Hunou,Stade Rennais FC,French Ligue 1,23,France,Midfielder,67,74,69,62,65,49,False,Medium,False,False,37.0,3.0,0.08108108108108109,0.0,0.0,0.0,0.0
74,Adrien Rabiot,Paris Saint-Germain,French Ligue 1,22,France,Midfielder,81,86,74,77,69,66,False,Medium,False,False,118.0,11.0,0.09322033898305085,0.0,0.0,0.0,0.0
75,Adrien Regattin,Osmanlspor,Turkish Super Lig,25,Morocco,Midfielder,76,77,77,62,57,60,False,Low,False,False,115.0,10.0,0.08695652173913043,1.0,0.008695652173913044,0.0,0.0
76,Adrien Thomasson,FC Nantes,French Ligue 1,23,France,Midfielder,73,77,69,65,55,52,False,Medium,False,False,86.0,15.0,0.1744186046511628,1.0,0.011627906976744186,0.0,0.0
77,Adrien Trebel,RSC Anderlecht,Belgian First Division A,26,France,Midfielder,76,77,77,70,67,57,False,Medium,False,False,12.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Afriyie Acquah,Torino,Italian Serie A,25,Ghana,Forward,74,77,78,77,78,66,False,High,False,False,64.0,21.0,0.328125,0.0,0.0,0.0,0.0
81,Afriyie Acquah,Torino,Italian Serie A,25,Ghana,Midfielder,74,77,78,77,78,66,False,High,False,False,48.0,14.0,0.2916666666666667,0.0,0.0,0.0,0.0
82,Ager Aketxe,Athletic Club de Bilbao,Spanish Primera Division,23,Spain,Midfielder,72,78,52,45,47,37,False,Medium,False,False,11.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0
84,Ahmad Benali,Pescara,Italian Serie B,25,Libya,Midfielder,72,75,51,48,56,26,False,Medium,False,False,33.0,5.0,0.15151515151515152,0.0,0.0,0.0,0.0
85,Ahmed Elmohamady,Aston Villa,English Championship,29,Egypt,Midfielder,72,72,59,66,61,62,False,Medium,False,False,111.0,10.0,0.09009009009009009,1.0,0.009009009009009009,0.0,0.0
86,Ahmed Kantari,Valenciennes FC,French Ligue 2,32,Morocco,Defender,69,69,69,69,68,69,False,Medium,False,False,60.0,13.0,0.21666666666666667,0.0,0.0,42.0,0.7
87,Ahmed Kashi,Charlton Athletic,English League One,28,Algeria,Midfielder,71,71,79,72,69,71,False,Medium,False,False,19.0,2.0,0.10526315789473684,0.0,0.0,0.0,0.0
88,Ahmed Musa,Leicester City,English Premier League,24,Nigeria,Midfielder,75,79,33,28,24,20,False,Medium,False,False,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0
90,Aiden McGeady,Sunderland,English Championship,31,Republic of Ireland,Midfielder,75,75,72,41,29,34,False,Medium,False,False,32.0,1.0,0.03125,0.0,0.0,0.0,0.0
94,Aissa Mandi,Real Betis Balompie,Spanish Primera Division,25,Algeria,Defender,78,83,69,76,84,75,False,Medium,False,False,152.0,14.0,0.09210526315789473,2.0,0.013157894736842105,115.0,0.756578947368421
95,Aitor Bunuel,CA Osasuna,Spanish Segunda Division,19,Spain,Defender,68,82,62,65,67,62,False,Medium,False,False,15.0,3.0,0.2,0.0,0.0,19.0,1.2666666666666666
97,Alaeddine Yahia,AS Nancy Lorraine,French Ligue 2,35,Tunisia,Defender,72,72,74,73,69,72,False,Medium,False,False,75.0,15.0,0.2,2.0,0.02666666666666667,58.0,0.7733333333333333
99,Alaixys Romao,Olympiakos CFP,Greek Super League,33,Togo,Midfielder,74,74,85,75,77,68,False,High,False,False,124.0,25.0,0.20161290322580644,1.0,0.008064516129032258,0.0,0.0
100,Alan Hutton,Aston Villa,English Championship,32,Scotland,Defender,71,71,87,71,74,70,False,Medium,False,False,75.0,19.0,0.25333333333333335,0.0,0.0,80.0,1.0666666666666667
101,Alassane Plea,OGC Nice,French Ligue 1,24,France,Midfielder,80,86,59,38,30,40,False,Medium,False,False,84.0,9.0,0.10714285714285714,0.0,0.0,0.0,0.0
102,Alban Lafont,Toulouse FC,French Ligue 1,18,France,Goalkeeper,77,89,20,14,12,5,False,Medium,False,False,60.0,4.0,0.06666666666666667,0.0,0.0,26.0,0.43333333333333335
103,Albano Bizzarri,Udinese,Italian Serie A,39,Argentina,Goalkeeper,75,75,40,12,11,12,False,Medium,False,False,97.0,5.0,0.05154639175257732,0.0,0.0,72.0,0.7422680412371134
105,Alberto Aquilani,UD Las Palmas,Spanish Primera Division,32,Italy,Midfielder,75,75,61,61,58,53,False,Medium,False,False,106.0,22.0,0.20754716981132076,1.0,0.009433962264150943,0.0,0.0
