,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
0,Sergio Aguero,211,MCFC,Forward,30,26,8,0,0,4,0,3,3,12,0,1,0,0,0,S,Sergio,Aguero
1,Harry Kane,170,SPURS,Forward,28,21,4,0,0,4,0,8,6,6,0,1,0,0,1,H,Harry,Kane
2,Eden Hazard,169,CHEL,Midfielder,38,14,9,0,0,2,0,0,0,12,0,1,0,0,0,E,Eden,Hazard
3,Alexis Sanchez,167,ARSL,Forward,34,16,8,0,0,4,0,2,1,12,0,1,0,0,0,A,Alexis,Sanchez
4,Charlie Austin,166,QPR,Forward,35,18,5,0,0,5,0,0,0,3,0,2,0,0,0,C,Charlie,Austin
5,Branislav Ivanovic,157,CHEL,Defender,38,4,5,17,0,11,0,0,0,0,0,0,32,11,0,B,Branislav,Ivanovic
6,John Terry,153,CHEL,Defender,38,5,0,17,0,2,0,0,0,0,0,0,32,11,1,J,John,Terry
7,Diego Costa,151,CHEL,Forward,24,20,3,0,0,8,0,2,2,17,0,0,0,0,0,D,Diego,Costa
8,Saido Berahino,141,WBFC,Forward,32,14,1,0,0,2,0,6,6,12,0,0,0,0,0,S,Saido,Berahino
9,David Silva,137,MCFC,Midfielder,32,12,7,0,0,8,0,0,0,15,0,0,0,0,0,D,David,Silva
10,Graziano Pelle,135,SOTOM,Forward,37,12,2,0,0,6,0,1,1,4,0,0,0,0,0,G,Graziano,Pelle
11,Santi Cazorla,133,ARSL,Midfielder,33,7,11,0,0,5,0,5,4,5,0,0,0,0,0,S,Santi,Cazorla
12,Wayne Rooney,131,MUFC,Forward,33,12,5,0,0,5,1,0,0,4,0,1,0,0,0,W,Wayne,Rooney
13,Danny Ings,131,BUR,Forward,35,11,4,0,0,6,0,0,0,10,0,0,0,0,0,D,Danny,Ings
14,Nacer Chadli,130,SPURS,Midfielder,28,11,5,0,0,3,0,8,7,16,0,0,0,0,0,N,Nacer,Chadli
15,Romelu Lukaku,128,EVER,Forward,32,10,5,0,0,2,0,4,4,10,0,0,0,0,1,R,Romelu,Lukaku
16,Christian Eriksen,127,SPURS,Midfielder,37,10,2,0,0,4,0,1,1,11,0,0,0,0,0,C,Christian,Eriksen
17,Gylfi Sigurdsson,127,SWAN,Midfielder,32,7,10,0,0,2,0,0,0,15,0,0,0,0,0,G,Gylfi,Sigurdsson
18,Leonardo Ulloa,124,LEICSC,Forward,29,11,2,0,0,3,0,9,8,18,0,0,0,0,0,L,Leonardo,Ulloa
19,Jordan Henderson,124,LPOOL,Midfielder,36,6,9,0,0,6,0,1,1,0,0,0,0,0,0,J,Jordan,Henderson
20,Jose Fonte,122,SOTOM,Defender,37,0,1,15,0,5,0,0,0,0,0,0,32,10,0,J,Jose,Fonte
21,Christian Benteke,122,AVILLA,Forward,26,13,2,0,0,1,1,3,3,2,0,0,0,0,0,C,Christian,Benteke
22,Stewart Downing,122,WESTHAM,Midfielder,37,6,7,0,0,3,0,0,0,2,0,0,0,0,0,S,Stewart,Downing
23,Francesc Fabregas,122,CHEL,Midfielder,33,3,18,0,0,11,1,1,1,8,0,0,0,0,0,F,Francesc,Fabregas
24,Ryan Bertrand,121,SOTOM,Defender,34,2,2,13,0,3,1,0,0,1,0,0,30,9,0,R,Ryan,Bertrand
25,Gary Cahill,121,CHEL,Defender,33,1,1,14,2,5,0,5,3,1,0,0,31,11,0,G,Gary,Cahill
26,Joe Hart,120,MCFC,Goalkeeper,36,0,0,14,0,1,0,2,0,0,1,0,34,12,0,J,Joe,Hart
27,Raheem Sterling,120,LPOOL,Midfielder,34,7,7,0,0,5,0,2,1,9,0,0,0,0,0,R,Raheem,Sterling
28,Olivier Giroud,119,ARSL,Forward,21,14,3,0,0,5,1,6,6,10,0,0,0,0,0,O,Olivier,Giroud
29,Mame Biram Diouf,119,STOKEC,Forward,28,11,3,0,0,7,0,7,6,11,0,0,0,0,0,M,Mame,Diouf
30,Nathaniel Clyne,118,SOTOM,Defender,35,2,0,13,0,4,0,1,0,1,0,0,32,10,0,N,Nathaniel,Clyne
31,Juan Mata,115,MUFC,Midfielder,27,9,4,0,0,2,0,11,6,12,0,0,0,0,0,J,Juan,Mata
32,Philip Jagielka,113,EVER,Defender,37,4,0,10,0,1,0,0,0,1,0,0,47,20,0,P,Philip,Jagielka
33,Cesar Azpilicueta,113,CHEL,Defender,29,0,3,14,1,1,1,6,0,2,0,0,22,8,0,C,Cesar,Azpilicueta
