,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
0,Mohamed Salah,230,LPOOL,Forward,29,29,9,0,0,0,0,2,2,15,0,1,0,0,0,M,Mohamed,Salah
1,Harry Kane,179,SPURS,Forward,29,24,2,0,0,5,0,2,2,8,0,1,0,0,0,H,Harry,Kane
2,Sergio Aguero,168,MCFC,Forward,22,21,6,0,0,2,0,7,3,9,0,0,0,0,0,S,Sergio,Aguero
3,Raheem Sterling,152,MCFC,Midfielder,24,16,8,0,0,4,0,5,4,8,0,0,0,0,0,R,Raheem,Sterling
4,Romelu Lukaku,152,MUFC,Forward,31,15,7,0,0,4,0,0,0,2,0,1,0,0,0,R,Romelu,Lukaku
5,Roberto Firmino,150,LPOOL,Midfielder,28,14,7,0,0,1,0,5,4,18,0,0,0,0,0,R,Roberto,Firmino
6,Kevin De Bruyne,143,MCFC,Midfielder,31,7,15,0,0,0,0,1,1,9,0,0,0,0,0,K,Kevin,Bruyne
7,Jamie Vardy,140,LEICSC,Forward,31,16,1,0,0,3,0,0,0,11,0,1,0,0,0,J,Jamie,Vardy
8,Christian Eriksen,136,SPURS,Midfielder,31,10,8,0,0,0,0,0,0,8,0,0,0,0,0,C,Christian,Eriksen
9,Riyad Mahrez,131,LEICSC,Midfielder,28,10,8,0,0,1,0,2,2,12,0,0,0,0,0,R,Riyad,Mahrez
10,Heung Min Son,127,SPURS,Midfielder,24,12,4,0,0,0,0,8,7,18,0,0,0,0,0,H,Heung,Son
11,Marcos Alonso,126,CHEL,Defender,30,6,1,11,2,5,0,0,0,5,0,0,27,10,0,M,Marcos,Alonso
12,Leroy Sane,126,MCFC,Midfielder,22,9,12,0,0,4,0,6,5,8,0,0,0,0,0,L,Leroy,Sane
13,Ederson,125,MCFC,Goalkeeper,32,0,0,14,1,0,0,0,0,1,2,0,24,7,0,E,Ederson,Ederson
14,Cesar Azpilicueta,125,CHEL,Defender,31,2,6,13,0,1,0,1,0,0,0,0,31,13,1,C,Cesar,Azpilicueta
15,Dele Alli,124,SPURS,Midfielder,30,8,10,0,0,6,0,1,0,13,0,0,0,0,0,D,Dele,Alli
16,Kyle Walker,119,MCFC,Defender,29,0,6,13,1,3,0,2,0,1,0,0,20,5,1,K,Kyle,Walker
17,David Silva,119,MCFC,Midfielder,25,8,11,0,0,5,0,2,1,8,0,0,0,0,0,D,David,Silva
18,David De Gea,119,MUFC,Goalkeeper,32,0,0,16,0,0,0,0,0,0,0,0,25,9,0,D,David,Gea
19,Nicolas Otamendi,118,MCFC,Defender,31,4,0,13,1,8,0,0,0,2,0,0,24,7,1,N,Nicolas,Otamendi
20,Luis Antonio Valencia,116,MUFC,Defender,28,3,1,14,0,7,0,0,0,2,0,0,21,7,0,L,Luis,Valencia
21,Eden Hazard,115,CHEL,Midfielder,24,11,3,0,0,1,0,5,4,13,0,0,0,0,0,E,Eden,Hazard
22,Xherdan Shaqiri,113,STOKEC,Midfielder,31,7,6,0,0,2,0,1,0,10,0,0,0,0,0,X,Xherdan,Shaqiri
23,Ben Davies,110,SPURS,Defender,22,2,6,10,2,2,0,8,3,2,0,0,20,7,0,B,Ben,Davies
24,Pascal Gross,110,BHV,Midfielder,30,5,8,0,0,1,0,2,2,21,0,0,0,0,0,P,Pascal,Gross
25,Alvaro Morata,110,CHEL,Forward,21,11,5,0,0,7,0,5,5,10,0,0,0,0,0,A,Alvaro,Morata
